applicant_id,applicant_name,cibil_score,existing_loans_lakhs,bank_account_verified,pan_verified,udyam_registration_no,gstin_status,project_report_attached,collateral_value_lakhs,business_vintage_years,monthly_cashflow_avg_inr,document_completeness_pct,target_readiness_score
ENT_IN_20014,Arjun Reddy,792,0.51,1,1,NOT_REGISTERED,ACTIVE,1,12.13,1.6,280542,97.9,99.5
ENT_IN_20015,Preeti Chaudhary,780,13.12,1,1,UDYAM-KA-03-6434276,ACTIVE,1,1.74,11.4,300968,88.3,100.0
ENT_IN_20016,Fatima Rao,666,17.7,1,1,UDYAM-UP-03-8425561,NOT_APPLICABLE,0,17.89,9.5,359750,78.1,74.6
ENT_IN_20017,Sunita Patil,630,8.81,1,0,UDYAM-KA-03-6329566,ACTIVE,1,5.74,11.2,23301,98.4,71.4
ENT_IN_20018,Sunita Deshmukh,627,2.35,1,1,UDYAM-PB-03-2402359,NOT_APPLICABLE,1,17.4,7.5,288988,68.5,74.6
ENT_IN_20019,Deepika Patel,0,14.46,1,1,UDYAM-KA-03-9132231,ACTIVE,1,3.32,11.7,436126,56.2,70.4
ENT_IN_20020,Sunita Kaur,553,0.32,1,1,UDYAM-GJ-03-4023558,ACTIVE,1,13.03,6.9,177284,72.3,82.1
ENT_IN_20021,Sunita Patil,847,24.58,1,1,UDYAM-MH-03-1056212,ACTIVE,1,4.23,2.4,277456,93.6,100.0
ENT_IN_20022,Deepika Gowda,647,0.35,1,1,NOT_REGISTERED,NOT_APPLICABLE,0,4.9,11.6,161843,58.5,52.5
ENT_IN_20023,Deepika Nair,731,20.21,1,1,UDYAM-TN-03-2523487,NOT_APPLICABLE,0,16.19,10.3,102347,52.0,63.6
ENT_IN_20024,Meena Das,566,15.93,1,1,NOT_REGISTERED,NOT_APPLICABLE,0,14.22,2.3,159723,90.1,58.3
ENT_IN_20025,Seema Reddy,627,9.94,1,1,UDYAM-PB-03-8587920,UNREGISTERED,1,8.73,6.3,97652,41.9,64.6
ENT_IN_20026,Fatima Singh,626,16.83,1,1,UDYAM-UP-03-5004106,NOT_APPLICABLE,1,11.63,5.6,228038,83.2,77.0
ENT_IN_20027,Ashok Joshi,0,21.89,1,1,UDYAM-UP-03-9009470,NOT_APPLICABLE,1,34.7,12.0,435056,40.5,57.3
ENT_IN_20028,Shweta Banerjee,772,24.45,1,1,UDYAM-PB-03-4886297,UNREGISTERED,1,44.48,11.4,304325,41.0,89.2
ENT_IN_20029,Rohan Kulkarni,734,17.56,1,1,UDYAM-TN-03-6698429,UNREGISTERED,0,7.52,10.0,101321,68.1,66.6
ENT_IN_20030,Savita Reddy,628,20.4,1,1,UDYAM-GJ-03-8339204,NOT_APPLICABLE,1,21.41,3.1,93882,57.9,66.6
ENT_IN_20031,Gurpreet Reddy,613,19.08,1,0,UDYAM-TN-03-9013976,NOT_APPLICABLE,1,26.43,5.3,395917,41.7,62.3
ENT_IN_20032,Sangeeta Patel,630,15.88,1,1,UDYAM-TN-03-3926865,ACTIVE,0,20.7,8.6,276829,57.0,70.8
ENT_IN_20033,Shweta Gupta,715,7.39,1,1,UDYAM-MH-03-5518674,NOT_APPLICABLE,1,22.14,3.9,204256,41.3,77.5
ENT_IN_20034,Rahul Banerjee,849,16.24,1,1,NOT_REGISTERED,ACTIVE,0,2.38,10.7,102205,60.0,73.4
ENT_IN_20035,Rohan Joshi,669,5.59,1,1,UDYAM-TN-03-3573431,ACTIVE,0,10.82,2.3,297574,72.5,80.5
ENT_IN_20036,Rekha Sharma,626,13.76,1,1,UDYAM-KA-03-3295212,ACTIVE,1,18.25,7.4,242742,99.3,91.0
ENT_IN_20037,Rohan Chaudhary,617,23.3,1,1,UDYAM-GJ-03-5957229,NOT_APPLICABLE,0,12.97,9.0,177779,57.9,60.2
ENT_IN_20038,Amit Yadav,703,0.66,1,1,UDYAM-KA-03-5532413,ACTIVE,0,28.11,1.9,209852,59.0,79.4
ENT_IN_20039,Karan Gowda,721,15.1,1,1,UDYAM-KA-03-8743458,NOT_APPLICABLE,0,6.81,4.9,323042,53.6,71.4
ENT_IN_20040,Pradeep Das,701,13.01,1,0,UDYAM-TN-03-7682225,NOT_APPLICABLE,1,37.7,8.2,295824,68.7,79.0
ENT_IN_20041,Ananya Gowda,0,22.37,1,1,UDYAM-PB-03-8115610,UNREGISTERED,1,0.47,8.6,438773,85.7,69.9
ENT_IN_20042,Priya Chaudhary,605,8.97,1,1,UDYAM-UP-03-5598833,ACTIVE,1,41.33,2.3,254814,89.6,86.8
ENT_IN_20043,Bhavna Verma,708,11.42,1,1,UDYAM-UP-03-6578733,NOT_APPLICABLE,1,3.26,4.5,367016,67.9,86.1
ENT_IN_20044,Amit Joshi,651,9.85,1,1,UDYAM-UP-03-7632111,ACTIVE,1,18.42,11.3,272871,44.9,83.2
ENT_IN_20045,Mamta Mishra,700,19.3,1,1,UDYAM-KA-03-9635515,NOT_APPLICABLE,0,10.54,11.6,102121,36.8,59.2
ENT_IN_20046,Radha Shah,762,7.17,0,1,NOT_REGISTERED,ACTIVE,1,19.16,1.8,432200,83.1,88.1
ENT_IN_20047,Gurpreet Rao,629,6.4,1,1,UDYAM-GJ-03-7388286,ACTIVE,0,33.34,4.1,305914,93.5,80.1
ENT_IN_20048,Deepak Sheikh,636,3.98,1,1,UDYAM-UP-03-6634742,ACTIVE,1,10.4,1.2,275417,56.4,80.0
ENT_IN_20049,Ashok Patel,588,18.92,1,1,UDYAM-GJ-03-4413138,ACTIVE,0,8.74,6.0,198794,37.6,62.5
ENT_IN_20050,Ramesh Banerjee,692,20.67,1,1,UDYAM-UP-03-3131636,NOT_APPLICABLE,0,37.31,3.4,71711,85.1,74.3
ENT_IN_20051,Preeti Gowda,594,15.3,1,1,UDYAM-UP-03-6694561,UNREGISTERED,1,40.99,6.3,161311,42.9,64.7
ENT_IN_20052,Deepika Sharma,791,2.51,1,1,UDYAM-UP-03-3151648,NOT_APPLICABLE,1,32.71,10.6,262101,67.4,94.0
ENT_IN_20053,Mohammed Kaur,746,1.64,1,1,UDYAM-GJ-03-5909745,ACTIVE,0,43.51,0.0,194094,78.2,84.2
ENT_IN_20054,Rajesh Joshi,577,16.82,1,1,NOT_REGISTERED,ACTIVE,1,11.25,2.6,253880,49.7,69.9
ENT_IN_20055,Mahesh Chatterjee,710,8.88,1,1,UDYAM-KA-03-7557776,UNREGISTERED,1,25.13,4.2,249827,95.6,91.5
ENT_IN_20056,Sujata Banerjee,717,24.15,1,1,UDYAM-GJ-03-6589487,UNREGISTERED,1,17.3,1.7,305235,61.2,86.3
ENT_IN_20057,Vijay Sharma,602,22.77,1,1,UDYAM-GJ-03-4072590,NOT_APPLICABLE,1,25.18,7.9,303655,59.7,73.7
ENT_IN_20058,Rohan Banerjee,0,17.74,1,1,UDYAM-KA-03-6692820,ACTIVE,1,11.42,11.2,213373,72.2,73.8
ENT_IN_20059,Gurpreet Patel,570,20.65,1,0,NOT_REGISTERED,ACTIVE,1,10.47,4.8,88979,67.4,61.7
ENT_IN_20060,Ayesha Verma,675,5.0,1,1,UDYAM-KA-03-7265404,ACTIVE,1,3.37,9.1,109842,55.0,81.4
ENT_IN_20061,Geeta Patil,627,19.76,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,38.69,10.6,317232,88.9,74.8
ENT_IN_20062,Mohammed Gowda,709,17.39,1,0,UDYAM-GJ-03-9037381,NOT_APPLICABLE,1,43.06,2.2,324685,99.7,83.3
ENT_IN_20063,Fatima Joshi,657,2.24,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,0.81,1.1,204160,56.1,71.0
ENT_IN_20064,Savita Kumar,552,21.06,1,1,NOT_REGISTERED,ACTIVE,1,1.84,6.8,232777,60.0,74.1
ENT_IN_20065,Ganesh Chatterjee,0,24.61,1,1,UDYAM-KA-03-2337953,ACTIVE,0,20.76,9.5,75891,44.9,50.0
ENT_IN_20066,Priya Khan,760,9.45,1,1,UDYAM-UP-03-6349646,NOT_APPLICABLE,1,42.26,4.8,406126,53.8,93.7
ENT_IN_20067,Prakash Kumar,608,7.55,1,1,NOT_REGISTERED,ACTIVE,1,22.73,4.4,430841,76.4,73.6
ENT_IN_20068,Shweta Kumar,696,21.42,1,1,UDYAM-MH-03-7248911,NOT_APPLICABLE,1,1.37,9.8,288219,75.4,85.6
ENT_IN_20069,Ganesh Singh,0,16.8,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,9.47,6.9,364071,94.5,62.1
ENT_IN_20070,Amit Khan,727,24.8,1,1,UDYAM-PB-03-4614900,ACTIVE,1,5.9,3.1,110173,85.6,88.0
ENT_IN_20071,Fatima Chaudhary,838,14.52,1,1,UDYAM-KA-03-3536562,UNREGISTERED,1,25.69,11.3,293683,64.0,93.8
ENT_IN_20072,Preeti Chaudhary,845,18.36,1,1,UDYAM-TN-03-4734508,NOT_APPLICABLE,1,4.99,2.3,147078,97.8,100.0
ENT_IN_20073,Rekha Reddy,842,5.56,1,1,UDYAM-TN-03-5954054,NOT_APPLICABLE,1,10.06,10.8,351942,87.2,100.0
ENT_IN_20074,Deepika Patel,742,13.83,1,1,NOT_REGISTERED,ACTIVE,1,24.4,4.9,16467,63.3,74.0
ENT_IN_20075,Ganesh Kulkarni,620,4.94,1,1,NOT_REGISTERED,UNREGISTERED,0,29.4,1.5,160063,95.5,58.6
ENT_IN_20076,Sunil Patil,653,17.14,0,1,UDYAM-GJ-03-5922854,ACTIVE,1,37.98,9.4,41458,77.9,80.9
ENT_IN_20077,Pradeep Joshi,672,6.84,1,0,UDYAM-TN-03-4431121,ACTIVE,1,21.59,4.9,116622,85.8,83.4
ENT_IN_20078,Anita Patil,709,14.99,1,1,NOT_REGISTERED,ACTIVE,0,33.28,5.2,226486,62.1,73.3
ENT_IN_20079,Harpreet Reddy,735,10.76,1,1,UDYAM-PB-03-8706509,NOT_APPLICABLE,1,26.53,5.3,241495,43.8,78.7
ENT_IN_20080,Seema Verma,731,11.09,1,1,UDYAM-PB-03-3348522,NOT_APPLICABLE,1,11.41,3.1,448594,94.4,91.5
ENT_IN_20081,Vikram Chatterjee,838,12.12,1,1,UDYAM-TN-03-6995032,NOT_APPLICABLE,1,30.74,6.1,214049,85.8,98.6
ENT_IN_20082,Meena Mishra,581,1.65,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,19.18,8.7,173781,99.1,69.2
ENT_IN_20083,Harpreet Banerjee,0,5.1,1,1,UDYAM-GJ-03-9420227,NOT_APPLICABLE,1,3.75,5.9,191043,51.7,58.2
ENT_IN_20084,Kiran Sheikh,729,1.95,1,1,UDYAM-MH-03-9804288,UNREGISTERED,1,7.33,8.2,183095,81.2,87.9
ENT_IN_20085,Rohan Verma,820,0.02,1,1,UDYAM-GJ-03-6071754,NOT_APPLICABLE,1,38.82,9.0,305411,99.3,100.0
ENT_IN_20086,Ayesha Joshi,720,5.69,0,1,UDYAM-GJ-03-4743209,NOT_APPLICABLE,1,21.29,9.6,221410,80.1,80.4
ENT_IN_20087,Amit Kulkarni,748,22.6,1,0,UDYAM-UP-03-2518260,NOT_APPLICABLE,0,1.31,10.9,199078,49.4,64.2
ENT_IN_20088,Geeta Mehta,782,18.05,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,17.68,2.6,228817,98.2,91.2
ENT_IN_20089,Mahesh Kaur,779,16.69,1,1,NOT_REGISTERED,UNREGISTERED,1,10.52,11.9,16714,76.8,82.6
ENT_IN_20090,Sangeeta Mishra,680,7.88,1,1,NOT_REGISTERED,ACTIVE,1,38.01,5.9,51216,40.7,72.0
ENT_IN_20091,Rekha Reddy,0,17.69,1,1,UDYAM-UP-03-6880292,NOT_APPLICABLE,0,33.84,7.4,406476,71.7,56.9
ENT_IN_20092,Rajesh Chatterjee,661,20.22,1,0,UDYAM-PB-03-9313566,UNREGISTERED,1,37.5,10.6,110811,61.3,70.9
ENT_IN_20093,Arjun Kumar,645,14.18,1,1,NOT_REGISTERED,ACTIVE,1,32.31,6.8,171866,68.4,69.0
ENT_IN_20094,Tariq Nair,848,23.89,1,1,UDYAM-TN-03-6389578,UNREGISTERED,1,41.32,7.0,323290,78.4,97.1
ENT_IN_20095,Dinesh Khan,598,21.52,1,1,UDYAM-TN-03-4602571,NOT_APPLICABLE,1,26.52,10.6,409058,87.0,82.4
ENT_IN_20096,Savita Kaur,597,2.78,1,1,UDYAM-UP-03-2253951,NOT_APPLICABLE,1,32.27,5.8,198082,38.7,62.9
ENT_IN_20097,Ashok Sheikh,580,3.33,1,1,UDYAM-GJ-03-5912772,NOT_APPLICABLE,1,27.8,1.0,43161,80.6,68.6
ENT_IN_20098,Harpreet Sheikh,0,13.2,1,1,UDYAM-MH-03-8524871,ACTIVE,0,44.93,7.5,112936,37.3,46.3
ENT_IN_20099,Prakash Mehta,850,24.89,1,1,NOT_REGISTERED,ACTIVE,0,5.16,11.5,354235,41.5,76.4
ENT_IN_20100,Ganesh Mehta,702,24.3,1,1,UDYAM-TN-03-5146247,UNREGISTERED,1,0.67,6.0,66740,67.5,77.2
ENT_IN_20101,Radha Das,717,3.85,1,1,UDYAM-PB-03-8861088,NOT_APPLICABLE,0,16.8,4.5,270752,59.6,74.5
ENT_IN_20102,Vijay Singh,805,25.0,1,1,UDYAM-PB-03-3443879,NOT_APPLICABLE,1,7.51,5.7,310410,88.0,99.8
ENT_IN_20103,Ramesh Chaudhary,597,22.95,1,1,UDYAM-MH-03-4720518,NOT_APPLICABLE,1,7.33,10.9,131529,37.4,61.9
ENT_IN_20104,Tariq Reddy,791,16.93,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,11.43,3.5,432067,91.0,92.6
ENT_IN_20105,Pradeep Reddy,702,9.72,0,1,UDYAM-MH-03-5889409,NOT_APPLICABLE,0,36.77,5.6,214933,77.8,70.4
ENT_IN_20106,Ananya Patil,659,3.67,1,1,UDYAM-PB-03-7565686,UNREGISTERED,1,25.48,6.4,336986,71.0,88.6
ENT_IN_20107,Bhavna Khan,760,6.35,1,0,NOT_REGISTERED,NOT_APPLICABLE,1,25.57,5.7,250227,79.8,85.7
ENT_IN_20108,Deepika Khan,603,3.09,1,1,UDYAM-TN-03-6574295,ACTIVE,0,11.01,11.0,121367,50.2,64.0
ENT_IN_20109,Gurpreet Shah,681,23.12,1,1,UDYAM-PB-03-4588431,ACTIVE,1,17.88,9.9,426901,39.7,87.7
ENT_IN_20110,Sujata Gupta,595,8.85,0,1,NOT_REGISTERED,ACTIVE,1,43.39,0.4,437519,52.1,61.3
ENT_IN_20111,Suresh Patel,823,8.33,1,1,UDYAM-PB-03-8835152,NOT_APPLICABLE,1,36.31,1.0,206139,65.3,94.4
ENT_IN_20112,Dinesh Verma,765,10.08,0,1,UDYAM-KA-03-6095637,ACTIVE,1,44.55,3.7,168341,96.7,98.5
ENT_IN_20113,Amit Mehta,714,8.56,1,1,UDYAM-GJ-03-7735630,UNREGISTERED,1,1.51,10.5,235399,52.0,78.4
ENT_IN_20114,Rekha Kulkarni,754,10.34,1,1,UDYAM-TN-03-6536384,UNREGISTERED,0,4.11,6.2,102234,61.6,75.7
ENT_IN_20115,Karan Mehta,0,2.74,1,1,UDYAM-UP-03-4020357,ACTIVE,0,31.31,9.5,343544,82.0,67.4
ENT_IN_20116,Sujata Patel,724,21.62,1,1,UDYAM-GJ-03-9311955,ACTIVE,1,6.66,7.6,110342,47.7,80.5
ENT_IN_20117,Ananya Patil,583,1.53,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,23.15,1.2,345269,93.3,74.4
ENT_IN_20118,Sunita Chaudhary,693,15.05,1,1,UDYAM-UP-03-8669762,NOT_APPLICABLE,1,14.59,3.5,82118,94.5,84.7
ENT_IN_20119,Vikram Mehta,573,8.43,1,1,UDYAM-KA-03-9881905,ACTIVE,1,36.7,7.6,320045,54.3,77.2
ENT_IN_20120,Manoj Deshmukh,601,1.04,1,1,NOT_REGISTERED,ACTIVE,1,21.15,11.6,161571,55.3,67.8
ENT_IN_20121,Kavita Kulkarni,702,2.27,1,1,UDYAM-PB-03-4991581,ACTIVE,1,17.3,8.3,245589,83.5,97.9
ENT_IN_20122,Ananya Banerjee,0,0.61,1,1,UDYAM-PB-03-5883068,ACTIVE,1,12.76,11.3,427038,58.8,69.8
ENT_IN_20123,Kiran Nair,796,8.46,1,1,NOT_REGISTERED,UNREGISTERED,1,27.17,1.7,20441,52.8,73.4
ENT_IN_20124,Mohammed Sharma,571,22.75,0,1,UDYAM-MH-03-6154907,NOT_APPLICABLE,0,7.81,1.9,298163,44.7,53.9
ENT_IN_20125,Kiran Banerjee,0,13.48,0,1,UDYAM-PB-03-7477855,ACTIVE,1,11.92,6.8,244327,78.2,67.3
ENT_IN_20126,Priya Nair,565,18.97,1,1,UDYAM-MH-03-1229234,ACTIVE,0,14.36,7.3,276437,73.5,72.5
ENT_IN_20127,Anita Khan,580,22.16,1,1,NOT_REGISTERED,ACTIVE,1,17.27,10.3,81176,71.7,67.3
ENT_IN_20128,Simran Das,766,7.69,1,1,UDYAM-KA-03-7257469,NOT_APPLICABLE,1,9.51,9.5,27107,92.0,89.4
ENT_IN_20129,Anita Sharma,806,10.83,1,1,UDYAM-PB-03-5702635,ACTIVE,0,31.61,8.9,263282,73.6,90.7
ENT_IN_20130,Amit Banerjee,728,3.76,1,1,NOT_REGISTERED,UNREGISTERED,1,13.33,5.0,142624,58.8,68.1
ENT_IN_20131,Vijay Gowda,847,15.94,1,1,UDYAM-GJ-03-6148518,ACTIVE,1,32.76,0.3,433169,91.8,100.0
ENT_IN_20132,Fatima Chaudhary,648,2.8,1,0,UDYAM-GJ-03-3560211,ACTIVE,1,7.59,10.8,65683,98.3,72.8
ENT_IN_20133,Seema Kumar,675,23.23,1,1,NOT_REGISTERED,NOT_APPLICABLE,0,13.52,0.2,201742,76.1,69.2
ENT_IN_20134,Anil Das,600,13.3,1,1,UDYAM-MH-03-9135894,UNREGISTERED,0,15.74,11.3,93249,61.7,54.2
ENT_IN_20135,Pooja Gupta,785,19.29,1,1,UDYAM-UP-03-4082583,NOT_APPLICABLE,0,0.01,6.1,280540,50.3,82.0
ENT_IN_20136,Mohammed Chatterjee,794,13.19,1,1,UDYAM-GJ-03-8688826,ACTIVE,1,5.49,0.5,270763,79.9,100.0
ENT_IN_20137,Deepak Sheikh,737,8.59,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,26.79,2.5,435345,92.7,85.0
ENT_IN_20138,Anil Kulkarni,801,14.32,1,1,UDYAM-TN-03-2208549,ACTIVE,1,28.88,6.7,60008,44.8,89.7
ENT_IN_20139,Karan Mishra,632,24.03,1,0,UDYAM-UP-03-1223822,NOT_APPLICABLE,1,32.99,2.0,72063,78.7,65.1
ENT_IN_20140,Bhavna Reddy,754,11.14,1,1,UDYAM-TN-03-4561590,ACTIVE,0,19.27,5.0,271078,99.3,99.7
ENT_IN_20141,Bhavna Shah,792,22.39,1,1,NOT_REGISTERED,UNREGISTERED,1,23.66,7.1,345064,92.4,95.4
ENT_IN_20142,Priya Patil,0,4.37,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,30.11,2.5,433310,95.6,63.1
ENT_IN_20143,Mahesh Kaur,848,1.54,0,1,UDYAM-TN-03-4088840,NOT_APPLICABLE,0,0.56,0.5,51579,94.2,78.0
ENT_IN_20144,Seema Chatterjee,688,10.45,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,24.91,1.0,327386,56.4,73.9
ENT_IN_20145,Simran Rao,637,1.79,1,1,UDYAM-KA-03-7439382,UNREGISTERED,1,9.38,8.3,413333,97.6,83.3
ENT_IN_20146,Fatima Reddy,833,22.77,1,1,NOT_REGISTERED,ACTIVE,0,35.36,4.6,314657,72.2,87.8
ENT_IN_20147,Sanjay Yadav,636,12.87,1,1,UDYAM-KA-03-9418833,ACTIVE,1,19.75,1.9,82029,69.5,76.2
ENT_IN_20148,Simran Reddy,730,15.1,0,1,UDYAM-GJ-03-8183839,ACTIVE,1,44.88,2.7,142567,75.0,80.4
ENT_IN_20149,Manoj Mishra,579,3.69,1,1,NOT_REGISTERED,ACTIVE,1,34.46,1.1,392011,56.3,73.2
ENT_IN_20150,Ashok Kaur,834,16.0,1,1,UDYAM-MH-03-7709456,NOT_APPLICABLE,1,14.21,3.8,152493,50.5,86.7
ENT_IN_20151,Savita Chaudhary,847,13.28,1,1,UDYAM-GJ-03-2292953,UNREGISTERED,1,31.69,0.9,158834,45.5,87.9
ENT_IN_20152,Ayesha Banerjee,673,15.28,1,1,UDYAM-TN-03-3695141,NOT_APPLICABLE,0,18.26,6.0,154444,38.9,62.4
ENT_IN_20153,Kiran Kulkarni,0,22.3,1,1,UDYAM-PB-03-9497462,NOT_APPLICABLE,1,26.27,3.7,67772,50.3,51.7
ENT_IN_20154,Sangeeta Chaudhary,842,19.92,1,1,UDYAM-TN-03-2308778,NOT_APPLICABLE,1,44.7,4.5,290530,59.7,90.3
ENT_IN_20155,Kiran Verma,844,16.76,1,1,UDYAM-MH-03-5830710,UNREGISTERED,1,25.76,1.1,79005,69.1,86.1
ENT_IN_20156,Anita Patel,811,16.37,1,1,NOT_REGISTERED,UNREGISTERED,0,43.68,7.3,31924,61.4,64.3
ENT_IN_20157,Vikram Sharma,617,0.68,1,1,NOT_REGISTERED,ACTIVE,1,36.23,8.7,410070,71.4,72.3
ENT_IN_20158,Radha Khan,773,17.62,1,1,UDYAM-UP-03-5947144,NOT_APPLICABLE,0,26.15,8.5,49358,55.6,72.4
ENT_IN_20159,Ananya Mishra,782,24.29,1,1,UDYAM-GJ-03-9916260,NOT_APPLICABLE,1,11.0,9.4,144982,72.0,91.0
ENT_IN_20160,Tariq Singh,747,7.16,1,1,NOT_REGISTERED,ACTIVE,1,4.58,10.4,385585,69.0,82.1
ENT_IN_20161,Manoj Banerjee,592,0.05,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,36.24,11.0,396772,83.9,72.0
ENT_IN_20162,Ananya Das,835,0.28,1,1,NOT_REGISTERED,ACTIVE,1,19.76,8.8,280023,55.5,89.2
ENT_IN_20163,Seema Kulkarni,670,11.01,1,1,UDYAM-PB-03-8558151,UNREGISTERED,1,32.96,7.7,184782,72.6,83.2
ENT_IN_20164,Karan Singh,564,3.1,1,1,UDYAM-TN-03-6619397,NOT_APPLICABLE,0,4.25,0.8,241684,53.9,61.3
ENT_IN_20165,Arjun Kumar,802,1.79,1,1,UDYAM-PB-03-9272960,ACTIVE,1,44.52,7.9,25628,66.0,94.3
ENT_IN_20166,Pradeep Verma,673,18.95,1,1,UDYAM-UP-03-8543007,NOT_APPLICABLE,1,41.89,9.3,376825,48.1,80.9
ENT_IN_20167,Simran Das,699,4.4,1,1,NOT_REGISTERED,UNREGISTERED,1,23.94,5.1,110239,71.7,71.2
ENT_IN_20168,Geeta Kulkarni,682,3.88,0,1,NOT_REGISTERED,NOT_APPLICABLE,0,17.53,7.3,382612,78.1,59.7
ENT_IN_20169,Tariq Joshi,817,21.27,1,1,UDYAM-KA-03-7400855,NOT_APPLICABLE,1,38.03,2.7,427349,94.8,99.5
ENT_IN_20170,Meena Sharma,611,20.96,1,1,UDYAM-PB-03-3645688,ACTIVE,1,36.45,0.2,408256,84.8,84.0
ENT_IN_20171,Pooja Sheikh,0,3.48,1,1,UDYAM-UP-03-4206009,ACTIVE,1,2.7,1.9,346829,68.0,71.7
ENT_IN_20172,Sujata Kaur,848,24.37,1,1,UDYAM-UP-03-7669085,NOT_APPLICABLE,1,4.31,10.0,401841,48.0,92.1
ENT_IN_20173,Sunita Sharma,710,5.26,1,0,NOT_REGISTERED,NOT_APPLICABLE,1,43.65,2.9,53699,36.8,55.5
ENT_IN_20174,Rajesh Patel,0,16.72,1,0,UDYAM-PB-03-9462838,NOT_APPLICABLE,1,14.78,0.3,358356,85.7,61.2
ENT_IN_20175,Sunita Joshi,774,9.58,1,1,NOT_REGISTERED,ACTIVE,1,42.74,10.4,349258,42.3,86.7
ENT_IN_20176,Rekha Banerjee,624,6.29,1,1,UDYAM-KA-03-2222825,NOT_APPLICABLE,0,43.31,5.2,248772,68.0,63.0
ENT_IN_20177,Ananya Shah,685,15.16,1,1,UDYAM-GJ-03-7444649,NOT_APPLICABLE,1,17.28,5.3,304773,77.2,88.1
ENT_IN_20178,Vijay Yadav,605,10.72,1,1,UDYAM-KA-03-1686337,NOT_APPLICABLE,0,1.15,5.0,407374,96.8,75.0
ENT_IN_20179,Kavita Patil,636,16.38,1,1,UDYAM-GJ-03-9545365,UNREGISTERED,1,43.0,2.9,134256,53.1,65.4
ENT_IN_20180,Rekha Patil,701,2.7,1,1,NOT_REGISTERED,NOT_APPLICABLE,1,7.29,0.7,323970,55.2,70.9
ENT_IN_20181,Sujata Singh,832,14.75,1,1,UDYAM-UP-03-2414636,NOT_APPLICABLE,0,42.91,6.3,132328,73.6,81.5
ENT_IN_20182,Prakash Patel,792,3.82,1,1,UDYAM-UP-03-6212718,ACTIVE,0,20.19,8.0,434169,44.9,84.5
ENT_IN_20183,Pradeep Gupta,566,24.14,0,1,UDYAM-UP-03-6265058,NOT_APPLICABLE,1,39.27,8.7,367213,76.1,71.2
ENT_IN_20184,Lakshmi Verma,656,19.01,1,1,NOT_REGISTERED,NOT_APPLICABLE,0,15.37,3.8,224000,65.1,65.0
ENT_IN_20185,Sujata Kaur,691,22.56,1,1,UDYAM-KA-03-1353820,NOT_APPLICABLE,1,37.97,1.8,402569,58.7,85.3
ENT_IN_20186,Neha Sharma,651,7.14,1,1,UDYAM-MH-03-6846750,UNREGISTERED,1,3.7,4.4,22795,42.3,72.4
