application_id,applicant_name,state,reported_annual_income_inr,tax_vault_verified_income_inr,income_discrepancy_ratio,duplicate_bank_account_flag,duplicate_aadhaar_flag,ip_geo_mismatch,ip_address_changes_count,document_forgery_risk_score,caste_certificate_verification_status,target_is_fraudulent
FRAUD_IN_40057,Sunita Singh,Odisha,221059,240666,1.09,0,0,0,1,0.07,VERIFIED_VALID,0
FRAUD_IN_40058,Bhavna Mehta,Punjab,184688,190479,1.03,0,0,0,1,0.12,VERIFIED_VALID,0
FRAUD_IN_40059,Sunita Banerjee,West Bengal,283451,278452,0.98,0,0,0,3,0.07,NOT_REQUIRED,0
FRAUD_IN_40060,Harpreet Sheikh,Gujarat,238927,225112,0.94,0,0,0,2,0.07,VERIFIED_VALID,0
FRAUD_IN_40061,Lakshmi Rao,Odisha,56000,58610,1.05,0,0,0,2,0.22,NOT_REQUIRED,0
FRAUD_IN_40062,Anita Gupta,Karnataka,119059,122182,1.03,0,0,0,1,0.21,NOT_REQUIRED,0
FRAUD_IN_40063,Rahul Chatterjee,Kerala,191136,575411,3.01,0,0,0,16,0.69,UNVERIFIED,1
FRAUD_IN_40064,Deepak Shah,Madhya Pradesh,310940,332715,1.07,0,0,0,2,0.08,VERIFIED_VALID,0
FRAUD_IN_40065,Bhavna Chaudhary,Haryana,247050,232286,0.94,0,0,0,4,0.12,NOT_REQUIRED,0
FRAUD_IN_40066,Amit Patil,Karnataka,352453,382359,1.08,0,0,0,1,0.21,VERIFIED_VALID,0
FRAUD_IN_40067,Rajesh Mishra,Kerala,435105,452748,1.04,0,0,0,2,0.06,VERIFIED_VALID,0
FRAUD_IN_40068,Ganesh Singh,Kerala,380309,402381,1.06,0,0,0,4,0.05,NOT_REQUIRED,0
FRAUD_IN_40069,Mahesh Patil,Madhya Pradesh,287906,289254,1.0,0,0,0,2,0.16,NOT_REQUIRED,0
FRAUD_IN_40070,Kiran Chaudhary,Assam,90847,90116,0.99,0,0,0,3,0.04,NOT_REQUIRED,0
FRAUD_IN_40071,Geeta Chaudhary,Rajasthan,437448,448021,1.02,0,0,0,4,0.21,VERIFIED_VALID,0
FRAUD_IN_40072,Arjun Deshmukh,Madhya Pradesh,368386,392242,1.06,0,0,0,2,0.03,VERIFIED_VALID,0
FRAUD_IN_40073,Harpreet Khan,Uttar Pradesh,50746,47369,0.93,0,0,0,2,0.08,VERIFIED_VALID,0
FRAUD_IN_40074,Savita Reddy,Bihar,129522,119427,0.92,0,0,0,3,0.02,VERIFIED_VALID,0
FRAUD_IN_40075,Kiran Nair,Kerala,176488,190068,1.08,0,0,0,1,0.1,VERIFIED_VALID,0
FRAUD_IN_40076,Rahul Mishra,Madhya Pradesh,51609,49826,0.97,0,0,0,2,0.21,VERIFIED_VALID,0
FRAUD_IN_40077,Kavita Sharma,Odisha,437618,487267,1.11,0,0,0,3,0.22,VERIFIED_VALID,0
FRAUD_IN_40078,Kavita Reddy,Maharashtra,85044,79332,0.93,0,0,0,3,0.09,VERIFIED_VALID,0
FRAUD_IN_40079,Pooja Khan,Kerala,78682,89874,1.14,0,0,0,4,0.15,VERIFIED_VALID,0
FRAUD_IN_40080,Simran Kumar,Gujarat,318852,321400,1.01,0,0,0,2,0.05,VERIFIED_VALID,0
FRAUD_IN_40081,Sunita Mehta,Uttar Pradesh,104453,116366,1.11,0,0,0,1,0.03,VERIFIED_VALID,0
FRAUD_IN_40082,Kiran Gowda,Punjab,152355,144931,0.95,0,0,0,2,0.11,VERIFIED_VALID,0
FRAUD_IN_40083,Mahesh Sheikh,Punjab,59369,62470,1.05,0,0,0,4,0.22,NOT_REQUIRED,0
FRAUD_IN_40084,Arjun Kaur,Bihar,289769,282993,0.98,0,0,0,2,0.19,VERIFIED_VALID,0
FRAUD_IN_40085,Rahul Sheikh,Odisha,229095,240430,1.05,0,0,0,2,0.02,NOT_REQUIRED,0
FRAUD_IN_40086,Meena Kulkarni,Madhya Pradesh,277773,305778,1.1,0,0,0,3,0.05,NOT_REQUIRED,0
FRAUD_IN_40087,Suresh Mishra,Bihar,257256,257566,1.0,0,0,0,1,0.22,VERIFIED_VALID,0
FRAUD_IN_40088,Seema Chaudhary,Rajasthan,204253,194255,0.95,0,0,0,4,0.13,NOT_REQUIRED,0
FRAUD_IN_40089,Pooja Khan,Bihar,153114,141853,0.93,0,0,0,4,0.21,VERIFIED_VALID,0
FRAUD_IN_40090,Vikram Joshi,Gujarat,192938,196775,1.02,0,0,0,3,0.14,VERIFIED_VALID,0
FRAUD_IN_40091,Sunil Verma,West Bengal,290062,298131,1.03,0,0,0,3,0.12,VERIFIED_VALID,0
FRAUD_IN_40092,Harpreet Yadav,Assam,121809,133610,1.1,0,0,0,2,0.13,VERIFIED_VALID,0
FRAUD_IN_40093,Rekha Nair,Punjab,50962,54804,1.08,0,0,0,4,0.19,NOT_REQUIRED,0
FRAUD_IN_40094,Ayesha Kaur,Maharashtra,108374,103180,0.95,0,0,1,1,0.2,NOT_REQUIRED,0
FRAUD_IN_40095,Rajesh Shah,Punjab,337706,334012,0.99,0,0,0,1,0.02,NOT_REQUIRED,0
FRAUD_IN_40096,Pooja Sharma,Uttar Pradesh,110695,126934,1.15,0,0,1,2,0.13,VERIFIED_VALID,0
FRAUD_IN_40097,Sujata Singh,Maharashtra,304601,297180,0.98,0,0,0,4,0.12,VERIFIED_VALID,0
FRAUD_IN_40098,Prakash Gowda,Bihar,115869,118781,1.03,0,0,1,4,0.1,VERIFIED_VALID,0
FRAUD_IN_40099,Vijay Sharma,Punjab,332865,316752,0.95,0,0,0,1,0.2,VERIFIED_VALID,0
FRAUD_IN_40100,Meena Deshmukh,Kerala,172093,1347885,7.83,1,0,1,34,0.98,SUSPICIOUS,1
FRAUD_IN_40101,Pooja Gupta,Uttar Pradesh,57053,56311,0.99,0,0,0,3,0.19,NOT_REQUIRED,0
FRAUD_IN_40102,Preeti Reddy,Odisha,127548,128581,1.01,0,0,0,1,0.02,VERIFIED_VALID,0
FRAUD_IN_40103,Deepak Kumar,Assam,316831,327211,1.03,0,0,0,2,0.2,VERIFIED_VALID,0
FRAUD_IN_40104,Sunita Kumar,Maharashtra,124280,134399,1.08,0,0,0,4,0.0,VERIFIED_VALID,0
FRAUD_IN_40105,Vikram Sharma,Maharashtra,91136,93055,1.02,0,0,0,4,0.0,VERIFIED_VALID,0
FRAUD_IN_40106,Neha Banerjee,Tamil Nadu,148151,155619,1.05,0,0,0,2,0.17,VERIFIED_VALID,0
FRAUD_IN_40107,Mamta Shah,Bihar,127277,129520,1.02,0,0,0,1,0.14,NOT_REQUIRED,0
FRAUD_IN_40108,Meena Sheikh,Assam,72719,67753,0.93,0,0,0,4,0.22,VERIFIED_VALID,0
FRAUD_IN_40109,Lakshmi Kulkarni,Tamil Nadu,185414,204955,1.11,0,0,0,3,0.08,VERIFIED_VALID,0
FRAUD_IN_40110,Deepika Deshmukh,Rajasthan,367676,1575860,4.29,0,0,1,14,0.79,SUSPICIOUS,1
FRAUD_IN_40111,Sanjay Singh,Uttar Pradesh,153344,152643,1.0,0,0,0,4,0.06,VERIFIED_VALID,0
FRAUD_IN_40112,Sangeeta Khan,Odisha,153503,174862,1.14,0,0,0,3,0.0,VERIFIED_VALID,0
FRAUD_IN_40113,Harpreet Sheikh,West Bengal,306973,291241,0.95,0,0,0,3,0.11,VERIFIED_VALID,0
FRAUD_IN_40114,Kavita Kulkarni,Uttar Pradesh,397901,366775,0.92,0,0,0,3,0.07,VERIFIED_VALID,0
FRAUD_IN_40115,Manoj Nair,Uttar Pradesh,252406,247475,0.98,0,0,0,1,0.18,VERIFIED_VALID,0
FRAUD_IN_40116,Rajesh Kumar,Kerala,82050,79151,0.96,0,0,0,1,0.1,NOT_REQUIRED,0
FRAUD_IN_40117,Ramesh Rao,Karnataka,202351,216632,1.07,0,0,0,2,0.07,VERIFIED_VALID,0
FRAUD_IN_40118,Suresh Mishra,Tamil Nadu,242529,242245,1.0,0,0,0,4,0.19,VERIFIED_VALID,0
FRAUD_IN_40119,Ashok Yadav,Odisha,45285,47056,1.04,0,0,0,3,0.06,VERIFIED_VALID,0
FRAUD_IN_40120,Anita Nair,West Bengal,236109,222526,0.94,0,0,0,1,0.07,VERIFIED_VALID,0
FRAUD_IN_40121,Rahul Patil,Kerala,261023,254316,0.97,0,0,0,3,0.04,VERIFIED_VALID,0
FRAUD_IN_40122,Ananya Reddy,Uttar Pradesh,432655,435015,1.01,0,0,0,3,0.09,VERIFIED_VALID,0
FRAUD_IN_40123,Rahul Verma,Maharashtra,293136,304897,1.04,0,0,0,1,0.01,VERIFIED_VALID,0
FRAUD_IN_40124,Simran Kaur,Tamil Nadu,270060,270293,1.0,0,0,0,1,0.03,VERIFIED_VALID,0
FRAUD_IN_40125,Manoj Nair,Tamil Nadu,65386,74851,1.14,0,0,0,3,0.09,VERIFIED_VALID,0
FRAUD_IN_40126,Rohan Patil,Maharashtra,130769,123726,0.95,0,0,0,4,0.1,VERIFIED_VALID,0
FRAUD_IN_40127,Neha Gupta,Maharashtra,149986,142884,0.95,0,0,0,1,0.07,VERIFIED_VALID,0
FRAUD_IN_40128,Sangeeta Sharma,Bihar,258258,285296,1.1,0,0,0,4,0.17,VERIFIED_VALID,0
FRAUD_IN_40129,Mohammed Verma,Rajasthan,235009,226348,0.96,0,0,0,1,0.05,NOT_REQUIRED,0
FRAUD_IN_40130,Seema Das,Assam,97195,97062,1.0,0,0,0,4,0.07,VERIFIED_VALID,0
FRAUD_IN_40131,Sujata Sheikh,Kerala,67026,63494,0.95,0,0,0,1,0.12,NOT_REQUIRED,0
FRAUD_IN_40132,Mamta Deshmukh,Rajasthan,230772,251297,1.09,0,0,0,2,0.09,VERIFIED_VALID,0
FRAUD_IN_40133,Priya Das,Odisha,361257,342464,0.95,0,0,0,2,0.14,VERIFIED_VALID,0
FRAUD_IN_40134,Gurpreet Singh,Madhya Pradesh,45486,46947,1.03,0,0,0,2,0.22,NOT_REQUIRED,0
FRAUD_IN_40135,Gurpreet Mishra,Gujarat,78490,74420,0.95,0,0,1,3,0.17,NOT_REQUIRED,0
FRAUD_IN_40136,Sunil Reddy,Tamil Nadu,231097,1019406,4.41,0,1,0,26,0.74,FAKE_CERTIFICATE,1
FRAUD_IN_40137,Rohan Mishra,Haryana,125747,126783,1.01,0,0,0,2,0.12,VERIFIED_VALID,0
FRAUD_IN_40138,Savita Banerjee,Tamil Nadu,179935,666141,3.7,1,0,1,7,0.79,FAKE_CERTIFICATE,1
FRAUD_IN_40139,Amit Sharma,Karnataka,64504,70810,1.1,0,0,0,3,0.09,VERIFIED_VALID,0
FRAUD_IN_40140,Vikram Chaudhary,Odisha,106448,105034,0.99,0,0,0,2,0.13,VERIFIED_VALID,0
FRAUD_IN_40141,Rekha Sheikh,Bihar,229754,215497,0.94,0,0,0,2,0.01,VERIFIED_VALID,0
FRAUD_IN_40142,Kiran Verma,Gujarat,170508,159988,0.94,0,0,0,2,0.02,VERIFIED_VALID,0
FRAUD_IN_40143,Rohan Patel,Kerala,405372,2487819,6.14,0,0,1,23,0.92,UNVERIFIED,1
FRAUD_IN_40144,Ashok Chatterjee,Bihar,121316,132974,1.1,0,0,0,3,0.15,NOT_REQUIRED,0
FRAUD_IN_40145,Mahesh Reddy,Haryana,424484,441994,1.04,0,0,0,1,0.2,VERIFIED_VALID,0
FRAUD_IN_40146,Ramesh Khan,Punjab,406655,420049,1.03,0,0,0,2,0.15,VERIFIED_VALID,0
FRAUD_IN_40147,Dinesh Verma,Maharashtra,253905,247354,0.97,0,0,0,3,0.17,NOT_REQUIRED,0
FRAUD_IN_40148,Kavita Gupta,Haryana,385768,442784,1.15,0,0,0,1,0.12,VERIFIED_VALID,0
FRAUD_IN_40149,Karan Gowda,Haryana,276502,293210,1.06,0,0,0,3,0.08,VERIFIED_VALID,0
FRAUD_IN_40150,Sanjay Kumar,Uttar Pradesh,191306,183584,0.96,0,0,0,4,0.19,VERIFIED_VALID,0
FRAUD_IN_40151,Ganesh Khan,Gujarat,298811,288338,0.96,0,0,0,1,0.06,NOT_REQUIRED,0
FRAUD_IN_40152,Dinesh Chatterjee,Maharashtra,199669,183795,0.92,0,0,0,2,0.09,VERIFIED_VALID,0
FRAUD_IN_40153,Rahul Reddy,West Bengal,65897,67093,1.02,0,0,0,1,0.16,VERIFIED_VALID,0
FRAUD_IN_40154,Pradeep Sheikh,Tamil Nadu,398210,448328,1.13,0,0,1,3,0.04,NOT_REQUIRED,0
FRAUD_IN_40155,Fatima Das,Rajasthan,103028,96227,0.93,0,0,0,2,0.06,VERIFIED_VALID,0
FRAUD_IN_40156,Kiran Gowda,Uttar Pradesh,258038,1339818,5.19,0,1,1,18,0.82,SUSPICIOUS,1
FRAUD_IN_40157,Sujata Reddy,Madhya Pradesh,200677,1116326,5.56,1,1,1,30,0.78,SUSPICIOUS,1
FRAUD_IN_40158,Lakshmi Sharma,Gujarat,328197,370636,1.13,0,0,0,2,0.18,VERIFIED_VALID,0
FRAUD_IN_40159,Dinesh Reddy,Assam,391182,3142204,8.03,1,0,1,31,0.69,FAKE_CERTIFICATE,1
FRAUD_IN_40160,Amit Gupta,West Bengal,222229,230146,1.04,0,0,0,2,0.01,VERIFIED_VALID,0
FRAUD_IN_40161,Ashok Chaudhary,Rajasthan,261421,294159,1.13,0,0,0,3,0.22,VERIFIED_VALID,0
FRAUD_IN_40162,Dinesh Kaur,Madhya Pradesh,127990,130499,1.02,0,0,0,3,0.11,VERIFIED_VALID,0
FRAUD_IN_40163,Priya Mehta,Rajasthan,408165,412876,1.01,0,0,0,1,0.09,NOT_REQUIRED,0
FRAUD_IN_40164,Ramesh Singh,Bihar,114719,439945,3.83,0,0,1,35,0.97,SUSPICIOUS,1
FRAUD_IN_40165,Ashok Verma,Gujarat,50334,47641,0.95,0,0,0,1,0.05,VERIFIED_VALID,0
FRAUD_IN_40166,Neha Kaur,Punjab,413938,422097,1.02,0,0,0,1,0.14,VERIFIED_VALID,0
FRAUD_IN_40167,Anil Rao,Kerala,235034,256365,1.09,0,0,0,3,0.18,VERIFIED_VALID,0
FRAUD_IN_40168,Sunita Patel,Haryana,366075,338801,0.93,0,0,0,4,0.19,VERIFIED_VALID,0
FRAUD_IN_40169,Lakshmi Mishra,Gujarat,51716,57942,1.12,0,0,0,4,0.2,VERIFIED_VALID,0
FRAUD_IN_40170,Simran Kumar,Tamil Nadu,228367,228046,1.0,0,0,0,4,0.08,VERIFIED_VALID,0
FRAUD_IN_40171,Savita Verma,Punjab,408213,398822,0.98,0,0,0,1,0.08,VERIFIED_VALID,0
FRAUD_IN_40172,Sangeeta Deshmukh,Rajasthan,290333,271012,0.93,0,0,0,1,0.15,NOT_REQUIRED,0
FRAUD_IN_40173,Karan Chaudhary,Gujarat,315413,295790,0.94,0,0,0,3,0.2,VERIFIED_VALID,0
FRAUD_IN_40174,Seema Reddy,Madhya Pradesh,121319,112976,0.93,0,0,0,4,0.2,VERIFIED_VALID,0
FRAUD_IN_40175,Harpreet Sharma,Odisha,92508,90953,0.98,0,0,0,1,0.02,VERIFIED_VALID,0
FRAUD_IN_40176,Neha Kulkarni,Tamil Nadu,235871,260312,1.1,0,0,0,3,0.11,NOT_REQUIRED,0
FRAUD_IN_40177,Harpreet Khan,Maharashtra,401064,420744,1.05,0,0,0,1,0.07,VERIFIED_VALID,0
FRAUD_IN_40178,Rohan Verma,Uttar Pradesh,393418,423453,1.08,0,0,0,4,0.19,NOT_REQUIRED,0
FRAUD_IN_40179,Manoj Gupta,Haryana,391851,393493,1.0,0,0,0,3,0.06,VERIFIED_VALID,0
FRAUD_IN_40180,Sangeeta Mishra,West Bengal,82363,552935,6.71,1,0,0,18,0.82,FAKE_CERTIFICATE,1
FRAUD_IN_40181,Tariq Chatterjee,West Bengal,273268,264248,0.97,0,0,0,1,0.08,VERIFIED_VALID,0
FRAUD_IN_40182,Mamta Chaudhary,Tamil Nadu,290157,312420,1.08,0,0,0,3,0.02,VERIFIED_VALID,0
FRAUD_IN_40183,Sangeeta Sheikh,Odisha,403739,395954,0.98,0,0,0,2,0.21,NOT_REQUIRED,0
FRAUD_IN_40184,Neha Patel,Gujarat,396025,450299,1.14,0,0,0,1,0.13,VERIFIED_VALID,0
FRAUD_IN_40185,Rahul Reddy,Rajasthan,358761,411280,1.15,0,0,0,4,0.18,VERIFIED_VALID,0
FRAUD_IN_40186,Ganesh Singh,Assam,146133,156159,1.07,0,0,0,2,0.17,VERIFIED_VALID,0
FRAUD_IN_40187,Lakshmi Banerjee,Kerala,385569,384366,1.0,0,0,0,4,0.21,VERIFIED_VALID,0
FRAUD_IN_40188,Meena Chaudhary,Uttar Pradesh,417008,450369,1.08,0,0,1,4,0.1,VERIFIED_VALID,0
FRAUD_IN_40189,Vikram Rao,Haryana,61526,65763,1.07,0,0,1,3,0.06,NOT_REQUIRED,0
FRAUD_IN_40190,Neha Chaudhary,Maharashtra,89812,96792,1.08,0,0,0,1,0.13,VERIFIED_VALID,0
FRAUD_IN_40191,Dinesh Sheikh,Rajasthan,233519,244071,1.05,0,0,0,4,0.08,VERIFIED_VALID,0
FRAUD_IN_40192,Ganesh Mehta,Maharashtra,259518,247067,0.95,0,0,0,2,0.15,NOT_REQUIRED,0
FRAUD_IN_40193,Manoj Gowda,Karnataka,144993,159556,1.1,0,0,0,2,0.06,NOT_REQUIRED,0
FRAUD_IN_40194,Harpreet Nair,Kerala,254032,235528,0.93,0,0,0,4,0.09,VERIFIED_VALID,0
FRAUD_IN_40195,Priya Mehta,Madhya Pradesh,420505,397169,0.94,0,0,1,1,0.16,VERIFIED_VALID,0
FRAUD_IN_40196,Anil Chaudhary,Assam,234850,265044,1.13,0,0,0,4,0.08,VERIFIED_VALID,0
FRAUD_IN_40197,Karan Kumar,Punjab,182812,183722,1.0,0,0,0,4,0.01,VERIFIED_VALID,0
FRAUD_IN_40198,Ananya Mishra,Madhya Pradesh,276246,268996,0.97,0,0,1,1,0.0,VERIFIED_VALID,0
FRAUD_IN_40199,Sanjay Kulkarni,Uttar Pradesh,123057,137027,1.11,0,0,0,1,0.22,VERIFIED_VALID,0
FRAUD_IN_40200,Radha Khan,Assam,430009,406928,0.95,0,0,0,4,0.06,VERIFIED_VALID,0
FRAUD_IN_40201,Arjun Rao,West Bengal,330640,346408,1.05,0,0,0,3,0.19,VERIFIED_VALID,0
FRAUD_IN_40202,Pooja Deshmukh,Assam,449552,442785,0.98,0,0,0,4,0.01,VERIFIED_VALID,0
FRAUD_IN_40203,Pooja Chatterjee,Haryana,346260,352138,1.02,0,0,1,2,0.0,NOT_REQUIRED,0
FRAUD_IN_40204,Simran Kaur,Haryana,429865,484251,1.13,0,0,0,3,0.05,VERIFIED_VALID,0
FRAUD_IN_40205,Dinesh Mehta,Rajasthan,159040,170718,1.07,0,0,0,3,0.1,VERIFIED_VALID,0
FRAUD_IN_40206,Seema Joshi,Kerala,175000,175147,1.0,0,0,0,3,0.12,VERIFIED_VALID,0
FRAUD_IN_40207,Deepika Singh,Tamil Nadu,439595,468590,1.07,0,0,0,2,0.15,NOT_REQUIRED,0
FRAUD_IN_40208,Sunil Khan,Rajasthan,349381,379302,1.09,0,0,0,3,0.06,VERIFIED_VALID,0
FRAUD_IN_40209,Sujata Kumar,Karnataka,432056,466019,1.08,0,0,0,2,0.04,VERIFIED_VALID,0
FRAUD_IN_40210,Neha Patel,Gujarat,109330,655233,5.99,1,0,0,14,0.88,FAKE_CERTIFICATE,1
FRAUD_IN_40211,Vikram Chatterjee,West Bengal,141343,158041,1.12,0,0,0,3,0.2,VERIFIED_VALID,0
FRAUD_IN_40212,Sunil Mishra,Kerala,69713,70274,1.01,0,0,0,4,0.14,VERIFIED_VALID,0
FRAUD_IN_40213,Vijay Mishra,Gujarat,377911,360635,0.95,0,0,0,3,0.05,NOT_REQUIRED,0
FRAUD_IN_40214,Deepika Chaudhary,Haryana,216730,244261,1.13,0,0,0,2,0.21,VERIFIED_VALID,0
FRAUD_IN_40215,Shweta Sharma,Madhya Pradesh,280598,280106,1.0,0,0,0,3,0.11,VERIFIED_VALID,0
FRAUD_IN_40216,Ganesh Khan,Kerala,49946,57430,1.15,0,0,0,1,0.15,VERIFIED_VALID,0
FRAUD_IN_40217,Deepak Deshmukh,Odisha,368708,403424,1.09,0,0,0,1,0.14,VERIFIED_VALID,0
FRAUD_IN_40218,Mohammed Das,Odisha,217031,225540,1.04,0,0,0,3,0.08,VERIFIED_VALID,0
