student_id,student_name,gender,state,district,social_category,annual_family_income_inr,academic_marks_pct,education_level,course_name,institution_type,is_single_girl_child,is_orphan,scholarship_id,scholarship_name,scholarship_min_marks,scholarship_max_income,target_eligibility
STU_IN_30042,Mohammed Sharma,Male,Assam,Dibrugarh,SC,731883,78.9,Postgraduate (PG),Diploma Mechanical,Government Institution,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30043,Savita Rao,Female,Rajasthan,Bikaner,SC,68229,74.4,School (9th-12th),B.Tech Computer Science,Government Aided,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30044,Rekha Chatterjee,Female,Punjab,Mohali,OBC,196289,90.2,Postgraduate (PG),Class 10 CBSE/State Board,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,POTENTIALLY_ELIGIBLE
STU_IN_30045,Mahesh Chatterjee,Male,West Bengal,Murshidabad,EWS,232117,82.3,School (9th-12th),Class 10 CBSE/State Board,Government Aided,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,VERIFY
STU_IN_30046,Gurpreet Khan,Male,Kerala,Thrissur,OBC,549651,78.3,School (9th-12th),B.Sc Agriculture,Government Aided,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30047,Mamta Kulkarni,Female,Karnataka,Mangaluru,SC,309432,63.1,Postgraduate (PG),MBBS,Government Aided,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,POTENTIALLY_ELIGIBLE
STU_IN_30048,Suresh Chatterjee,Male,Assam,Tezpur,EWS,44002,50.0,School (9th-12th),Class 10 CBSE/State Board,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,VERIFY
STU_IN_30049,Shweta Sharma,Female,Odisha,Puri,SC,298911,77.7,Postgraduate (PG),M.Sc Physics,Private Self-Financed,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30050,Mamta Kaur,Female,Bihar,Gaya,General,570572,58.9,School (9th-12th),Class 10 CBSE/State Board,Government Institution,1,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30051,Manoj Chatterjee,Male,Karnataka,Belagavi,EWS,56446,72.6,Diploma / ITI,Class 10 CBSE/State Board,Government Aided,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30052,Pradeep Deshmukh,Male,Madhya Pradesh,Indore,General,639047,73.8,Postgraduate (PG),Diploma Mechanical,Private Self-Financed,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30053,Rajesh Reddy,Male,West Bengal,Siliguri,General,135602,70.1,Diploma / ITI,B.Sc Agriculture,Government Institution,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,POTENTIALLY_ELIGIBLE
STU_IN_30054,Priya Reddy,Female,Tamil Nadu,Madurai,General,145788,57.0,Diploma / ITI,M.Sc Physics,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30055,Tariq Mishra,Male,Assam,Dibrugarh,General,64682,90.6,Postgraduate (PG),MBBS,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30056,Sunil Kumar,Male,Kerala,Kollam,ST,205848,69.9,Diploma / ITI,M.Sc Physics,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,VERIFY
STU_IN_30057,Simran Kaur,Female,Uttar Pradesh,Kanpur,OBC,26100,49.6,School (9th-12th),BA Political Science,Private Self-Financed,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30058,Anita Banerjee,Female,Rajasthan,Kota,OBC,106635,61.1,Undergraduate (UG),BA Political Science,Private Self-Financed,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30059,Shweta Sharma,Female,Gujarat,Ahmedabad,OBC,825172,80.5,Undergraduate (UG),M.Sc Physics,Government Institution,1,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30060,Shweta Reddy,Female,Tamil Nadu,Chennai,SC,491064,93.5,Postgraduate (PG),B.Com Honors,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,VERIFY
STU_IN_30061,Gurpreet Reddy,Male,Haryana,Ambala,General,342702,53.7,Postgraduate (PG),B.Tech Computer Science,Private Self-Financed,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,VERIFY
STU_IN_30062,Sunil Chaudhary,Male,Maharashtra,Kolhapur,OBC,421849,53.0,Diploma / ITI,Diploma Mechanical,Government Aided,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,VERIFY
STU_IN_30063,Tariq Chatterjee,Male,Assam,Silchar,SC,163535,66.1,Diploma / ITI,MBBS,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30064,Radha Das,Female,Odisha,Puri,General,547211,63.4,Diploma / ITI,BA Political Science,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30065,Anil Mishra,Male,Uttar Pradesh,Prayagraj,OBC,227106,48.6,Postgraduate (PG),Diploma Mechanical,Private Self-Financed,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30066,Pradeep Joshi,Male,Assam,Jorhat,SC,297324,61.8,School (9th-12th),Class 10 CBSE/State Board,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,POTENTIALLY_ELIGIBLE
STU_IN_30067,Prakash Khan,Male,Rajasthan,Jodhpur,General,725674,57.2,Undergraduate (UG),Class 10 CBSE/State Board,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,NOT_ELIGIBLE
STU_IN_30068,Kavita Verma,Female,West Bengal,Asansol,OBC,95330,69.9,Postgraduate (PG),Diploma Mechanical,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30069,Ramesh Yadav,Male,West Bengal,Howrah,OBC,567589,83.2,Undergraduate (UG),Class 10 CBSE/State Board,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30070,Lakshmi Das,Female,Maharashtra,Solapur,OBC,443677,60.8,School (9th-12th),B.Sc Agriculture,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30071,Kavita Das,Female,Maharashtra,Aurangabad,SC,64637,70.4,Postgraduate (PG),MBBS,Government Institution,1,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30072,Rekha Mehta,Female,Uttar Pradesh,Agra,ST,95632,57.7,Undergraduate (UG),B.Com Honors,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,POTENTIALLY_ELIGIBLE
STU_IN_30073,Kiran Yadav,Female,Gujarat,Surat,OBC,85832,78.9,Postgraduate (PG),M.Sc Physics,Government Institution,1,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,POTENTIALLY_ELIGIBLE
STU_IN_30074,Sunita Verma,Female,Kerala,Kozhikode,General,123812,75.1,Undergraduate (UG),Diploma Mechanical,Government Aided,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30075,Pooja Shah,Female,Odisha,Sambalpur,ST,72224,64.5,Undergraduate (UG),B.Sc Agriculture,Private Self-Financed,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30076,Amit Nair,Male,Maharashtra,Mumbai,General,495317,90.3,Diploma / ITI,Class 12 Science,Government Institution,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30077,Fatima Chatterjee,Female,West Bengal,Asansol,OBC,132720,87.6,School (9th-12th),MBBS,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30078,Mamta Banerjee,Female,Punjab,Amritsar,ST,658303,96.0,Postgraduate (PG),B.Sc Agriculture,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30079,Neha Banerjee,Female,Kerala,Kochi,General,454391,83.8,Diploma / ITI,B.Com Honors,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,VERIFY
STU_IN_30080,Priya Chatterjee,Female,Tamil Nadu,Chennai,General,627318,79.5,Undergraduate (UG),BA Political Science,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30081,Karan Nair,Male,Gujarat,Ahmedabad,OBC,629507,68.6,Undergraduate (UG),B.Sc Agriculture,Private Self-Financed,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30082,Mamta Sheikh,Female,Odisha,Sambalpur,SC,32277,90.6,Postgraduate (PG),BA Political Science,Government Institution,0,0,SCHOL_POST_MATRIC_OBC,Post-Matric Scholarship for OBC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30083,Shweta Kulkarni,Female,Gujarat,Ahmedabad,OBC,157209,70.4,Undergraduate (UG),B.Tech Computer Science,Private Self-Financed,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30084,Tariq Rao,Male,Haryana,Faridabad,ST,505971,60.0,Diploma / ITI,Class 12 Science,Government Institution,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30085,Sunita Deshmukh,Female,Bihar,Muzaffarpur,OBC,442750,87.0,Postgraduate (PG),BA Political Science,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30086,Arjun Mehta,Male,West Bengal,Durgapur,OBC,389755,66.0,Undergraduate (UG),M.Sc Physics,Private Self-Financed,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,VERIFY
STU_IN_30087,Ramesh Joshi,Male,Madhya Pradesh,Jabalpur,General,136855,53.1,Undergraduate (UG),B.Sc Agriculture,Government Institution,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30088,Anita Das,Female,Madhya Pradesh,Gwalior,OBC,94681,93.3,Undergraduate (UG),Class 10 CBSE/State Board,Government Aided,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30089,Shweta Verma,Female,Gujarat,Ahmedabad,General,33748,48.0,Undergraduate (UG),B.Com Honors,Private Self-Financed,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30090,Simran Deshmukh,Female,Madhya Pradesh,Jabalpur,EWS,831809,72.4,School (9th-12th),Class 10 CBSE/State Board,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,NOT_ELIGIBLE
STU_IN_30091,Geeta Gowda,Female,Uttar Pradesh,Ghaziabad,OBC,225465,70.5,Diploma / ITI,B.Tech Computer Science,Private Self-Financed,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30092,Priya Kulkarni,Female,Punjab,Mohali,OBC,217624,53.0,Diploma / ITI,B.Com Honors,Government Aided,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,VERIFY
STU_IN_30093,Mamta Mishra,Female,Karnataka,Mysuru,General,186956,48.8,School (9th-12th),Class 10 CBSE/State Board,Private Self-Financed,1,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30094,Sangeeta Patil,Female,West Bengal,Siliguri,OBC,434540,51.7,Postgraduate (PG),Class 12 Science,Government Institution,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30095,Ramesh Gupta,Male,Karnataka,Bengaluru,General,157988,66.2,School (9th-12th),Class 12 Science,Government Aided,0,0,SCHOL_BEGUM_HAZRAT,Begum Hazrat Mahal National Scholarship for Minority Girls,50.0,200000,POTENTIALLY_ELIGIBLE
STU_IN_30096,Kiran Rao,Female,Haryana,Ambala,General,51851,85.3,School (9th-12th),B.Com Honors,Private Self-Financed,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,POTENTIALLY_ELIGIBLE
STU_IN_30097,Dinesh Singh,Male,Madhya Pradesh,Jabalpur,General,281616,56.0,Diploma / ITI,M.Sc Physics,Government Institution,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,POTENTIALLY_ELIGIBLE
STU_IN_30098,Sunita Das,Female,Kerala,Kollam,General,159029,77.3,School (9th-12th),BA Political Science,Government Institution,0,0,SCHOL_CENTRAL_SECTOR,Central Sector Scheme of Scholarships for University Students,80.0,450000,VERIFY
STU_IN_30099,Seema Sheikh,Female,Madhya Pradesh,Gwalior,General,391714,51.2,School (9th-12th),B.Tech Computer Science,Government Institution,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,NOT_ELIGIBLE
STU_IN_30100,Sanjay Chaudhary,Male,Assam,Guwahati,General,219546,50.0,Postgraduate (PG),M.Sc Physics,Private Self-Financed,0,0,SCHOL_NMMSS,National Means-cum-Merit Scholarship Scheme,55.0,350000,VERIFY
STU_IN_30101,Pradeep Joshi,Male,Bihar,Bhagalpur,ST,308477,64.7,Postgraduate (PG),BA Political Science,Private Self-Financed,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30102,Sunil Chaudhary,Male,Karnataka,Mangaluru,General,196981,48.6,Diploma / ITI,B.Tech Computer Science,Government Institution,0,0,SCHOL_ISHAN_UDAY,Ishan Uday Special Scholarship for North Eastern Region,60.0,450000,VERIFY
STU_IN_30103,Kavita Nair,Female,Madhya Pradesh,Indore,OBC,155178,80.2,School (9th-12th),Class 12 Science,Private Self-Financed,1,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,POTENTIALLY_ELIGIBLE
STU_IN_30104,Anita Yadav,Female,Uttar Pradesh,Ghaziabad,SC,753544,97.8,Diploma / ITI,M.Sc Physics,Private Self-Financed,0,0,SCHOL_PRAGATI_GIRLS,AICTE Pragati Scholarship for Girl Students,60.0,800000,POTENTIALLY_ELIGIBLE
STU_IN_30105,Rajesh Patil,Male,Rajasthan,Udaipur,General,410763,48.4,Undergraduate (UG),B.Com Honors,Private Self-Financed,0,0,SCHOL_POST_MATRIC_SC,Post-Matric Scholarship for SC Students,50.0,250000,VERIFY
STU_IN_30106,Ramesh Kulkarni,Male,Odisha,Sambalpur,General,824000,77.6,Undergraduate (UG),M.Sc Physics,Private Self-Financed,0,0,SCHOL_PM_YASHASVI,PM YASHASVI Top Class School & College Education,60.0,250000,VERIFY
